object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Dessin,"bistre, & lavé",1,,,,,,,
Dessin,"bistre, & rehaussé de blanc",1,,,,,,,
Dessin,"bistre, & rehaussé de blanc, sur papier bleu",1,,,,,,,
Dessin,"bistre, & rehaussés de blanc, sur papier gris",1,,,,,,,
Dessin,"bistre, collé sur toile",1,,,,,,,
Dessin,"bistre, coloré, et sanguine",1,,,,,,,
Dessin,"bistre, crayon noir, rehauts de blanc et légérement colorié",1,,,,,,,
Dessin,"bistre, et rehaussé de blanc au pinceau",1,,,,,,,
Dessin,"bistre, g. pap[ier]",1,,,,,,,
Dessin,"bistre, indigo et rehauts de blanc",1,,,,,,,
Dessin,"bistre, lavé & rehausé de blanc au pinceau",1,,,,,,,
Dessin,"bistre, lavé et rehaussé de blanc",1,,,,,,,
Dessin,"bistre, lavé, et rehausé de blanc",1,,,,,,,
Dessin,"bistre, mine de plomb, et coloré",1,,,,,,,
Dessin,"bistre, pierre noire, et sur papier",1,,,,,,,
Dessin,"bistre, pierre-noire et rehauts de blanc",1,,,,,,,
Dessin,"bistre, plume",1,,,,,,,
Dessin,"bistre, rehaussé de blanc sur papier bleu",1,,,,,,,
Dessin,"bistre, rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"bistre, rehauts de blanc et lavis",1,,,,,,,
Dessin,"bistre, rehauts de blanc sur papier gris",1,,,,,,,
Dessin,"bistre, rehauts de blanc, sur papier gris",1,,,,,,,
Dessin,"bistre, sanguine & rehauts de blanc au pinceau",1,,,,,,,
Dessin,bistre& encre de chine,1,,,,,,,
Dessin,"bitre, rehaussé de blanc, sur papier gris clair",1,,,,,,,
Dessin,"blanc, plume, & lavé à l'encre de la Chine",1,,,,,,,
Dessin,bleu d'Inde,1,,,,,,,
Dessin,"bon dessin à la plume, & lavé",1,,,,,,,
Dessin,calqué,1,,,,,,,
Dessin,camayeux rehaussé de blanc au pinceau,1,,,,,,,
Dessin,caryons,1,,,,,,,
Dessin,charbon relevé de bistre,1,,,,,,,
Dessin,cinq pouces de haut sur dix pouces de large,1,,,,,,,
Dessin,collé sur bois,1,,,,,,,
Dessin,collés sur la même feuille,1,,,,,,,
Dessin,coloré & à gouache,1,,,,,,,
Dessin,coloré & aux trois crayons,1,,,,,,,
Dessin,coloré & bistre,1,,,,,,,
Dessin,coloré & lavé,1,,,,,,,
Dessin,coloré & peint à l'huile sur papier,1,,,,,,,
Dessin,coloré & très fini,1,,,,,,,
Dessin,coloré à la chine,1,,,,,,,
Dessin,coloré à la gouache,1,,,,,,,
Dessin,coloré à laquarelle,1,,,,,,,
Dessin,coloré au pinceau,1,,,,,,,
Dessin,coloré et à la plume,1,,,,,,,
Dessin,coloré et au bistre,1,,,,,,,
Dessin,coloré et pierre noire,1,,,,,,,
Dessin,coloré et plume,1,,,,,,,
Dessin,coloré et plume sur papier,1,,,,,,,
Dessin,coloré et rehaussé d'or,1,,,,,,,
Dessin,coloré et rehauts de blanc,1,,,,,,,
Dessin,coloré sur fond blanc,1,,,,,,,
Dessin,coloré sur fond noir,1,,,,,,,
Dessin,coloré sur fond or,1,,,,,,,
Dessin,coloré sur papier bleu,1,,,,,,,
Dessin,coloré sur papier gris,1,,,,,,,
Dessin,coloré sur velin à fond noir,1,,,,,,,
Dessin,"coloré, à la Plume",1,,,,,,,
Dessin,"coloré, plume & au bsitre",1,,,,,,,
Dessin,"coloré, sanguine, et pierre noire",1,,,,,,,
Dessin,"coloré, terminés à la plume",1,,,,,,,
Dessin,colorée au piceau,1,,,,,,,
Dessin,"colorée, au bistre",1,,,,,,,
Dessin,"colorées, sur fond blanc",1,,,,,,,
Dessin,colorés & à l'encre de la Chine,1,,,,,,,
Dessin,colorés à l'aquarelle,1,,,,,,,
Dessin,colorés au pastel,1,,,,,,,
Dessin,colorés sur un fond blanc,1,,,,,,,
Dessin,colorés sur vélin,1,,,,,,,
Dessin,coloriè,1,,,,,,,
Dessin,colorié & à gouache,1,,,,,,,
Dessin,colorié & à la plume.,1,,,,,,,
Dessin,colorié à gouache,1,,,,,,,
Dessin,colorié à la gouasse,1,,,,,,,
Dessin,colorié à la plume,1,,,,,,,
Dessin,colorié et crayon rouge,1,,,,,,,
Dessin,colorié et encre,1,,,,,,,
Dessin,colorié sur le papier blanc,1,,,,,,,
Dessin,colorié sur papier bleu,1,,,,,,,
Dessin,colorié sur vélin,1,,,,,,,
Dessin,colorié sur velin à fond noir,1,,,,,,,
Dessin,"colorié, pierre noire",1,,,,,,,
Dessin,"colorié, plume et lavis gris",1,,,,,,,
Dessin,"colorié, rehaussé de blanc",1,,,,,,,
Dessin,"colorié, sur papier bleu",1,,,,,,,
Dessin,"colorié, sur velin",1,,,,,,,
Dessin,"colorié, touché à l'huile",1,,,,,,,
Dessin,coloriée à l'essence de térébenthine,1,,,,,,,
Dessin,coloriés & lavés,1,,,,,,,
Dessin,coloriés à gouache,1,,,,,,,
Dessin,coloriés aquarellés,1,,,,,,,
Dessin,coloriés aux trois crayons,1,,,,,,,
Dessin,coloriés rehaussés d'or,1,,,,,,,
Dessin,compositions colorées,1,,,,,,,
Dessin,contre épreuve à la sanguine,1,,,,,,,
Dessin,contre épreuves à la pierre noire,1,,,,,,,
Dessin,contre-épreuve de sanguine,1,,,,,,,
Dessin,contre-épreuves,1,,,,,,,
Dessin,contre-preuve,1,,,,,,,
Dessin,couleur,1,,,,,,,
Dessin,Couleur,1,,,,,,,
Dessin,couleur sur papier,1,,,,,,,
Dessin,couleur sur velin,1,,,,,,,
Dessin,couleurs,1,,,,,,,
Dessin,couleurs & rehauts de blanc,1,,,,,,,
Dessin,couleurs et encre de Chine,1,,,,,,,
Dessin,couleurs sur papier,1,,,,,,,
Dessin,craïon noir & blanc sur papier bleu,1,,,,,,,
Dessin,craïon noir & l'encre de la Chine,1,,,,,,,
Dessin,craion noir rehaussé de blanc,1,,,,,,,
Dessin,"craïon noir rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"craïon noir, lavé d'encre de la Chine",1,,,,,,,
Dessin,"craïon noir, rehaussé de blanc",1,,,,,,,
Dessin,"craïon noir, rehaussé de blanc sur papier bleu",1,,,,,,,
Dessin,"craïon noir, rehaussé de blanc, sur papier bleu",1,,,,,,,
Dessin,"craïon noir, rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"craïon noir, sur papier bleu",1,,,,,,,
Dessin,"craïon noir, sur vélin",1,,,,,,,
Dessin,craion rouge & plume,1,,,,,,,
Dessin,"craion rouge, lavés de Bistre",1,,,,,,,
Dessin,craïons rouge & noir,1,,,,,,,
Dessin,craon noir sur papier gris rehaussé de blanc,1,,,,,,,
Dessin,craoyons noirs & blancs,1,,,,,,,
Dessin,Crayon,1,,,,,,,
Dessin,crayon  blanc & rouge sur papier,1,,,,,,,
Dessin,crayon  noir relevé d'encre de la Chine,1,,,,,,,
Dessin,crayon & blanc,1,,,,,,,
Dessin,crayon & colorié sur velin,1,,,,,,,
Dessin,crayon & encre de chine,1,,,,,,,
Dessin,crayon & lavé de bistre,1,,,,,,,
Dessin,crayon & lavis de bistre,1,,,,,,,
Dessin,crayon & pastel,1,,,,,,,
Dessin,crayon & rehaussé de blanc,1,,,,,,,
Dessin,crayon bistré et lavé,1,,,,,,,
Dessin,crayon blanc & pierre noire estompée,1,,,,,,,
Dessin,crayon blanc & pierre noire sur papier bleu,1,,,,,,,
Dessin,crayon blanc sur fond bistré,1,,,,,,,
Dessin,"crayon blanc, sur papier noir",1,,,,,,,
Dessin,crayon bleu,1,,,,,,,
Dessin,crayon brun sur papier blanc,1,,,,,,,
Dessin,crayon de bistre,1,,,,,,,
Dessin,crayon et bistre,1,,,,,,,
Dessin,crayon et lavis bistre,1,,,,,,,
Dessin,crayon et rehaussé de blanc,1,,,,,,,
Dessin,crayon et rehaussé de blanc sur papier,1,,,,,,,
Dessin,crayon lavé à l'encre de chine et rehaussé de blanc,1,,,,,,,
Dessin,crayon lavé de bistre,1,,,,,,,
Dessin,crayon lavé de bistre mélé de sanguine,1,,,,,,,
Dessin,"crayon noir , lavé de bistre rehaussé de blanc sur papier bleu",1,,,,,,,
Dessin,crayon noir &  bistre rehaussé,1,,,,,,,
Dessin,crayon noir & à l'encre,1,,,,,,,
Dessin,crayon noir & à la sanguine sur papier blanc,1,,,,,,,
Dessin,"crayon noir & à la sanguine, lavé à l'encre de la Chine",1,,,,,,,
Dessin,"crayon noir & à la sanguine, sur papier blanc",1,,,,,,,
Dessin,crayon noir & au pastel sur papier bleu,1,,,,,,,
Dessin,crayon noir & bistre,1,,,,,,,
Dessin,crayon noir & blanc [ou] trois crayons,1,,,,,,,
Dessin,crayon noir & blanc & à la sanguine,1,,,,,,,
Dessin,crayon noir & blanc & pastel,1,,,,,,,
Dessin,crayon noir & blanc & un peu de pastel,1,,,,,,,
Dessin,crayon noir & blanc et coloré sur papier,1,,,,,,,
Dessin,crayon noir & blanc et lavé au bistre,1,,,,,,,
Dessin,crayon noir & blanc et sanguine,1,,,,,,,
Dessin,crayon noir & blanc mêlé d'un peu de pastel,1,,,,,,,
Dessin,crayon noir & blanc mêlé de pastel,1,,,,,,,
Dessin,Crayon noir & blanc sur papier bleu,1,,,,,,,
Dessin,Crayon noir & blanc sur papier gris,1,,,,,,,
Dessin,crayon noir & blanc sur papier jaune,1,,,,,,,
Dessin,"crayon noir & blanc, & à la sanguine",1,,,,,,,
Dessin,"crayon noir & blanc, mêlé de la sanguine.",1,,,,,,,
Dessin,"crayon noir & blanc, sur papier bleu & gris",1,,,,,,,
Dessin,"crayon noir & blanc, un peu de pastel, sur papier de foie",1,,,,,,,
Dessin,crayon noir & bleu sur papier,1,,,,,,,
Dessin,crayon noir & coloré,1,,,,,,,
Dessin,crayon noir & encre de chine,1,,,,,,,
Dessin,crayon noir & encre de Chine,1,,,,,,,
Dessin,crayon noir & lavé,1,,,,,,,
Dessin,crayon noir & lavé à l'aquarelle,1,,,,,,,
Dessin,crayon noir & lavé d'encre de chine,1,,,,,,,
Dessin,crayon noir & lavé de bristre,1,,,,,,,
Dessin,crayon noir & lavis d'encre de chine,1,,,,,,,
Dessin,crayon noir & lavis sur papier blanc,1,,,,,,,
Dessin,crayon noir & plume,1,,,,,,,
Dessin,"crayon noir & plume, lavé d'encre de chine.",1,,,,,,,
Dessin,"crayon noir & plume, lavé de bistre",1,,,,,,,
Dessin,crayon noir & rehaussé de blanc sur papier bleu,1,,,,,,,
Dessin,crayon noir & rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,crayon noir & rouge lavé de bistre & rehaussé de blanc,1,,,,,,,
Dessin,crayon noir & rouge rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,crayon noir & rouge sur papier bleu,1,,,,,,,
Dessin,"crayon noir & rouge, retouché à la plume, & rehaussé de blanc",1,,,,,,,
Dessin,crayon noir & sanguine sur velin,1,,,,,,,
Dessin,"crayon noir & sanguine, lavé d'encre de chine",1,,,,,,,
Dessin,crayon noir estompé sur papier gris,1,,,,,,,
Dessin,"crayon noir et à la plume, lavé au bistre",1,,,,,,,
Dessin,"crayon noir et banc, sur papier gris",1,,,,,,,
Dessin,crayon noir et blan sur papier bleu,1,,,,,,,
Dessin,crayon noir et blanc rehaussé de rouge,1,,,,,,,
Dessin,crayon noir et blanc sur papier gris,1,,,,,,,
Dessin,"crayon noir et blanc sur papier gris, collé sur chassis",1,,,,,,,
Dessin,crayon noir et blanc sur papier gris.,1,,,,,,,
Dessin,crayon noir et blanc sur papier jaune,1,,,,,,,
Dessin,crayon noir et blanc sur papier sur papier bleu,1,,,,,,,
Dessin,"crayon noir et blanc, et pastel",1,,,,,,,
Dessin,crayon noir et encre de chine sur papier blanc,1,,,,,,,
Dessin,crayon noir et lavé à l'encre de chine,1,,,,,,,
Dessin,crayon noir et lavis bistre sur papier gris,1,,,,,,,
Dessin,"crayon noir et lavis d'encre, sur papier bleu",1,,,,,,,
Dessin,crayon noir et lavis gris,1,,,,,,,
Dessin,"crayon noir et lavis gris, sur papier blanc",1,,,,,,,
Dessin,crayon noir et mine de plomb sur papier et velin,1,,,,,,,
Dessin,"crayon noir et pastel, sur papier bleu",1,,,,,,,
Dessin,crayon noir et rehauts de blanc sur papier gris,1,,,,,,,
Dessin,"crayon noir et rouge, et rehauts de blanc",1,,,,,,,
Dessin,"crayon noir et rouge, rehauts de blanc et aquarelle",1,,,,,,,
Dessin,"crayon noir et rouge, sur papier blanc",1,,,,,,,
Dessin,"crayon noir lavé au bistre, rehaussé de blanc",1,,,,,,,
Dessin,crayon noir lavé d'encre,1,,,,,,,
Dessin,"crayon noir lavé d'encre de la Chine, rehaussé de blanc sur papier gris",1,,,,,,,
Dessin,crayon noir lavé de bistre en partie sur papier blanc,1,,,,,,,
Dessin,crayon noir lavé de bistre sur papier blanc,1,,,,,,,
Dessin,crayon noir lavé sur papier blanc,1,,,,,,,
Dessin,crayon noir mêlé de blanc,1,,,,,,,
Dessin,crayon noir relevé de blanc,1,,,,,,,
Dessin,crayon noir sur carton,1,,,,,,,
Dessin,"crayon noir sur papier blanc, & crayon rouge",1,,,,,,,
Dessin,"crayon noir sur papier blanc, rehaussé de blanc",1,,,,,,,
Dessin,crayon noir sur papier blanc.,1,,,,,,,
Dessin,crayon noir sur papier bleu rehaussé de blanc,1,,,,,,,
Dessin,crayon noir sur papier et rehaussé de blanc,1,,,,,,,
Dessin,"crayon noir sur papier gris, & rehaussée de blanc",1,,,,,,,
Dessin,crayon noir sur vélin,1,,,,,,,
Dessin,"crayon noir, & estompé",1,,,,,,,
Dessin,"crayon noir, & estompe, sur papier blanc",1,,,,,,,
Dessin,"crayon noir, & lavé au bistre sur papier blanc",1,,,,,,,
Dessin,"crayon noir, & rehaussé de blanc sur papier gris",1,,,,,,,
Dessin,"crayon noir, & rehaussé de blanc, sur papier bleu",1,,,,,,,
Dessin,"crayon noir, & rehaussés de blanc, sur papier bleu",1,,,,,,,
Dessin,"crayon noir, à la plume & lavé",1,,,,,,,
Dessin,"crayon noir, bistre & rehauts de blanc sur papier gris",1,,,,,,,
Dessin,"crayon noir, bistre, plume",1,,,,,,,
Dessin,"crayon noir, encre de chine",1,,,,,,,
Dessin,"crayon noir, estompé sur papier gris",1,,,,,,,
Dessin,"crayon noir, lavé",1,,,,,,,
Dessin,"crayon noir, lavé à l'encre de la Chine",1,,,,,,,
Dessin,"crayon noir, lavé à l'encre de la chine, & colorié sur papier blanc",1,,,,,,,
Dessin,"crayon noir, lavé au bistre.",1,,,,,,,
Dessin,"crayon noir, lavé d'encre de chine, & rehaussée de blanc",1,,,,,,,
Dessin,"crayon noir, lavé d'encre de chine, rehaussée de blanc sur papier gris",1,,,,,,,
Dessin,"crayon noir, lavé d'encre de chine, rehaussée de blanc, sur papier gris",1,,,,,,,
Dessin,"crayon noir, lavé de bistre et rehaut de blanc.",1,,,,,,,
Dessin,"crayon noir, lavé de bistre rehaussé de blanc",1,,,,,,,
Dessin,"crayon noir, lavé de bistre rehaussé de blanc sur papier bistré.",1,,,,,,,
Dessin,"crayon noir, lavé de bistre, un peu rehaussé de blanc",1,,,,,,,
Dessin,"crayon noir, lavis à l'encre de Chine",1,,,,,,,
Dessin,"crayon noir, lavis bistre et lavis à l'encre de Chine",1,,,,,,,
Dessin,"crayon noir, lavis d'encre et lavis bistre",1,,,,,,,
Dessin,"crayon noir, lavis de bistre rehaussé de blanc",1,,,,,,,
Dessin,"crayon noir, rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"crayon noir, rehaussée de blanc sur papier bleu",1,,,,,,,
Dessin,"crayon noir, rehauts de blanc sur papier bleu",1,,,,,,,
Dessin,"crayon noir, sanguine et bistre",1,,,,,,,
Dessin,"crayon noir, sanguine et rehauts de blanc",1,,,,,,,
Dessin,"crayon noir, sanguine, lavis bistre et rehauts de blanc",1,,,,,,,
Dessin,"crayon noir, sanguine, lavis bistre, lavis indigo et rehauts de blanc",1,,,,,,,
Dessin,"crayon noir, sur du velin",1,,,,,,,
Dessin,"crayon noir, un peu lavé d'encre de chine",1,,,,,,,
Dessin,crayon noire,1,,,,,,,
Dessin,crayon noire & rouge,1,,,,,,,
Dessin,Crayon noit & blanc sur papier bleu,1,,,,,,,
Dessin,crayon rouge & à la plume,1,,,,,,,
Dessin,crayon rouge & noir & rehaussé de blanc au pinceau,1,,,,,,,
Dessin,crayon rouge & noir sur papier gris,1,,,,,,,
Dessin,"crayon rouge & noir, lavis de bsitre",1,,,,,,,
Dessin,crayon rouge & plume,1,,,,,,,
Dessin,crayon rouge & plume sur papier blanc,1,,,,,,,
Dessin,crayon rouge et bistre,1,,,,,,,
Dessin,crayon rouge et blanc,1,,,,,,,
Dessin,"crayon rouge et blanc, sur papier gris",1,,,,,,,
Dessin,crayon rouge et colorés,1,,,,,,,
Dessin,crayon rouge et encre noir,1,,,,,,,
Dessin,crayon rouge et noir sur papier gris,1,,,,,,,
Dessin,crayon rouge et rehauts de blanc,1,,,,,,,
Dessin,crayon rouge rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,"crayon rouge sur papier gris, & rehaussé de blanc.",1,,,,,,,
Dessin,"crayon rouge, lavis bistre et rehauts de blanc",1,,,,,,,
Dessin,"crayon rouge, rehaussé de blanc",1,,,,,,,
Dessin,"crayon rouge, rehaussé de blanc sur papier de demie tente",1,,,,,,,
Dessin,"crayon rouge, rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,crayon sur papier et rehaussé de blanc,1,,,,,,,
Dessin,crayon sur velin,1,,,,,,,
Dessin,crayon-noir sur papier blanc,1,,,,,,,
Dessin,crayon-rouge sur papier blanc,1,,,,,,,
Dessin,"crayon, lavé de bistre, rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"crayon, lavé, et rehaussé de blanc",1,,,,,,,
Dessin,"crayon, plume & lavé",1,,,,,,,
Dessin,"crayon, rehaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"crayon,noir et blanc, sur papier gris",1,,,,,,,
Dessin,crayons & bistre,1,,,,,,,
Dessin,crayons blanc & noir,1,,,,,,,
Dessin,crayons mêlés de pastels et sur papier,1,,,,,,,
Dessin,crayons noir & blanc sur papier blanc,1,,,,,,,
Dessin,"crayons noir & blanc, & sanguine, sur différens papiers",1,,,,,,,
Dessin,"crayons noir & blanc, lavé",1,,,,,,,
Dessin,"crayons noir & blanc, melé d'estompe sur papier gris",1,,,,,,,
Dessin,"crayons noir & blanc, mêlée de pastel, sur papier gris",1,,,,,,,
Dessin,crayons noir & rouge sur papier gris,1,,,,,,,
Dessin,"crayons noir & rouge, rahaussé de blanc,",1,,,,,,,
Dessin,"crayons noir & rouge, sur papier blanc",1,,,,,,,
Dessin,crayons noir et blanc et lavis,1,,,,,,,
Dessin,crayons noir et blanc et lavis de bistre,1,,,,,,,
Dessin,crayons noir et blanc sur papier blanc,1,,,,,,,
Dessin,crayons noir et blanc sur papier brun,1,,,,,,,
Dessin,crayons noir et blanc sur papier gris bleu,1,,,,,,,
Dessin,"crayons noir et blanc, et pastel",1,,,,,,,
Dessin,"crayons noir et blanc, et pastel sur papier bleu clair",1,,,,,,,
Dessin,crayons noir et bleu sur papier brun,1,,,,,,,
Dessin,crayons noir et rouge et rehauts de blanc,1,,,,,,,
Dessin,crayons rouge & blanc sur papier gris,1,,,,,,,
Dessin,crayons rouge & noir sur papier gris,1,,,,,,,
Dessin,"crayons rouge & noir, sur papier gris",1,,,,,,,
Dessin,crayons rouge et blanc,1,,,,,,,
Dessin,crayons rouge et noir sur papier blanc,1,,,,,,,
Dessin,"crayons rouge et noir, sur papier blanc",1,,,,,,,
Dessin,crayons rouges & noir,1,,,,,,,
Dessin,crayons rouges sur papier blanc,1,,,,,,,
Dessin,"crayons rouges, noir & blanc",1,,,,,,,
Dessin,crayons sur papier gris,1,,,,,,,
Dessin,croquis,1,,,,,,,
Dessin,"cryaon noir, lavé au bistre",1,,,,,,,
Dessin,de bistre & de blanc au pinceau,1,,,,,,,
Dessin,de bistre au pinceau sur papier blanc,1,,,,,,,
Dessin,de couleur,1,,,,,,,
Dessin,demi-coloré,1,,,,,,,
Dessin,demi-coloris,1,,,,,,,
Dessin,"dessin à l'encre de la Chine, sur papier blanc",1,,,,,,,
Dessin,dessin à la pierre noire & coloré au pastel sur papier bleu,1,,,,,,,
Dessin,"dessin à la pierre noire, sur papier blanc",1,,,,,,,
Dessin,dessin à la plume & au bistre,1,,,,,,,
Dessin,dessin à la plume & lavée,1,,,,,,,
Dessin,dessin à la plume lavé de bleu,1,,,,,,,
Dessin,"dessin à la plume, lavé à l'encre",1,,,,,,,
Dessin,dessin au bistre,1,,,,,,,
Dessin,"Dessin au bistre, sur papier blanc",1,,,,,,,
Dessin,dessin au crayon noir mêlé d'un peu de sanguine,1,,,,,,,
Dessin,dessin en couleurs,1,,,,,,,
Dessin,dessiné & lavé à l'encre de la Chine,1,,,,,,,
Dessin,dessiné & lavé à la sanguine,1,,,,,,,
Dessin,dessiné & lavé au bistre sur papier blanc,1,,,,,,,
Dessin,dessiné à la mine de plomb & lavé à l'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,dessiné à la plume sur papier blanc,1,,,,,,,
Dessin,dessiné au crayon noir & à l'encre & au crayon blanc,1,,,,,,,
Dessin,"dessiné au crayon noir & à l'estompe, sur papier blanc",1,,,,,,,
Dessin,"dessinée à la plume & lavé à l'encre de la Chine, sur papier blanc",1,,,,,,,
Dessin,"dessinée à la plume au crayon noir, & rehaussée de blanc, sur papier gris",1,,,,,,,
Dessin,"dessinée à la plume, lavée à l'encre de la Chine & au bistre rehaussée de blanc",1,,,,,,,
Dessin,dessinée à la sanguine & lavée,1,,,,,,,
Dessin,dessinés,1,,,,,,,
Dessin,dessins à gouache,1,,,,,,,
Dessin,dessins à la gouache,1,,,,,,,
Dessin,dessins à la plume,1,,,,,,,
Dessin,dessins à la plume & lavés,1,,,,,,,
Dessin,"deux à la plume lavés de bistre, deux autres coloriés",1,,,,,,,
Dessin,é l'encre de la Chine,1,,,,,,,
Dessin,e lavé à l'encre de Chine & à la sanguine sur papier blanc,1,,,,,,,
Dessin,eau forte lavée au bistre,1,,,,,,,
Dessin,"eau forte, pierre noire, estompée, et rehaussaé de blanc",1,,,,,,,
Dessin,eau-forte & lavis,1,,,,,,,
Dessin,eauforte et bistre,1,,,,,,,
Dessin,eaux,1,,,,,,,
Dessin,émail,1,,,,,,,
Dessin,"en blanc, enluminés, à gouache",1,,,,,,,
Dessin,en contre-épreuve,1,,,,,,,
Dessin,en couleur,1,,,,,,,
Dessin,en grisaille & au bistre,1,,,,,,,
Dessin,en grisaille peint sur papier,1,,,,,,,
Dessin,en grisaille sur fond blanc,1,,,,,,,
Dessin,en grisaille sur papier,1,,,,,,,
Dessin,"en hauteur, ceintré du haut",1,,,,,,,
Dessin,en lavis,1,,,,,,,
Dessin,en maniere de grisaille,1,,,,,,,
Dessin,"en marbre de Flandre, albâtre",1,,,,,,,
Dessin,en parchemin,1,,,,,,,
Dessin,en rouge,1,,,,,,,
Dessin,en sanguine,1,,,,,,,
Dessin,"en trait de plume, sur papier blanc & coloré par dessus",1,,,,,,,
Dessin,enche de Chine et bistre sur papier blanc,1,,,,,,,
Dessin,encre & aquarelle,1,,,,,,,
Dessin,"encre & aquarelle, & sanguine",1,,,,,,,
Dessin,encre & couleur,1,,,,,,,
Dessin,"encre & crayon blanc, sur papier gris",1,,,,,,,
Dessin,encre & lavé de bistre,1,,,,,,,
Dessin,encre au pinceau,1,,,,,,,
Dessin,encre de Chine ; collé sur toile,1,,,,,,,
Dessin,encre de Chine & au bistre,1,,,,,,,
Dessin,encre de Chine & Bistre,1,,,,,,,
Dessin,encre de Chine & coloré,1,,,,,,,
Dessin,encre de chine & indigo,1,,,,,,,
Dessin,encre de Chine & pierre-noire,1,,,,,,,
Dessin,encre de chine & plume,1,,,,,,,
Dessin,encre de chine & rehauts de blanc,1,,,,,,,
Dessin,encre de Chine & rehauts de blanc sur papier bleu,1,,,,,,,
Dessin,encre de Chine & rehauts de blanc sur papier gris,1,,,,,,,
Dessin,encre de chine & sanguine,1,,,,,,,
Dessin,encre de chine au pinceau,1,,,,,,,
Dessin,encre de Chine au pinceau sur vélin,1,,,,,,,
Dessin,encre de chine avec rehauts de blanc sur papier bleu,1,,,,,,,
Dessin,encre de Chine et bistre mêlé de blanc sur papier blanc,1,,,,,,,
Dessin,encre de Chine et bistre sur papier blanc,1,,,,,,,
Dessin,encre de Chine et colorié,1,,,,,,,
Dessin,encre de Chine et crayon rouge,1,,,,,,,
Dessin,encre de Chine et lavé de bistre,1,,,,,,,
Dessin,encre de Chine et lavis,1,,,,,,,
Dessin,encre de chine et mêlé da sanguine sur papier,1,,,,,,,
Dessin,encre de Chine et pierre-noire,1,,,,,,,
Dessin,encre de Chine et pinceau sur papier blanc,1,,,,,,,
Dessin,encre de chine et plume sur papier,1,,,,,,,
Dessin,encre de Chine et rehaussé de blanc,1,,,,,,,
Dessin,encre de chine et rehaut blanc sur papier bleu,1,,,,,,,
Dessin,encre de Chine et rehaut blanc sur papier gris,1,,,,,,,
Dessin,encre de Chine et rehauts de blanc sur papier gris,1,,,,,,,
Dessin,"encre de Chine et rehauts de blanc, sur papier gris",1,,,,,,,
Dessin,encre de Chine et sanguine,1,,,,,,,
Dessin,encre de Chine mêlé de sanguine sur papier blanc,1,,,,,,,
Dessin,encre de Chine mêlée de bistre,1,,,,,,,
Dessin,encre de chine rehaussée de blanc sur papier bleu,1,,,,,,,
Dessin,encre de chine rehaussée de blanc sur papier gris,1,,,,,,,
Dessin,encre de chine sur papier blanc.,1,,,,,,,
Dessin,encre de Chine sur papier blanc.,1,,,,,,,
Dessin,encre de chine sur papier gris,1,,,,,,,
Dessin,encre de chine sur papier gris rehaussé de blanc,1,,,,,,,
Dessin,encre de chine sur papier jaune,1,,,,,,,
Dessin,encre de chine sur un trait gravé,1,,,,,,,
Dessin,encre de Chine sur vélin,1,,,,,,,
Dessin,"encre de Chine, bistre et rehauts de blanc",1,,,,,,,
Dessin,"encre de Chine, colorié, sur papier blanc",1,,,,,,,
Dessin,"encre de chine, pinceau sur papier bleu rehaussé de blanc",1,,,,,,,
Dessin,"encre de Chine, rehaussé de blanc sur papier gris",1,,,,,,,
Dessin,"encre de chine, rehaussée de blanc sur papier bleu",1,,,,,,,
Dessin,"encre de chine, rehauts de blanc sur papier gris",1,,,,,,,
Dessin,"encre de Chine, rehauts de blanc, sur papier bleu",1,,,,,,,
Dessin,"encre de Chine, sanguine et rehauts de blanc",1,,,,,,,
Dessin,"encre de Chine, sur papier bleu",1,,,,,,,
Dessin,encre de l Chine & au bistre,1,,,,,,,
Dessin,Encre de la Chine,1,,,,,,,
Dessin,"encre de la Chine & au bistre, sur papier blanc",1,,,,,,,
Dessin,"encre de la Chine & bistre, sur papier blanc",1,,,,,,,
Dessin,encre de la Chine & lavé,1,,,,,,,
Dessin,encre de la Chine & pierre d'Italie,1,,,,,,,
Dessin,encre de la Chine & rehaussé de blanc sur papier blanc,1,,,,,,,
Dessin,encre de la Chine & rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,encre de la Chine & rehaut de blanc sur papier gris,1,,,,,,,
Dessin,encre de la Chine en papier gris & lavé à la sanguine,1,,,,,,,
Dessin,encre de la Chine rehaussé de blanc,1,,,,,,,
Dessin,encre de la Chine rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,encre de la Chine rehaussée de blanc,1,,,,,,,
Dessin,"encre de la chine réhaussée de blanc, sur papier bleu",1,,,,,,,
Dessin,encre de la Chine sur papier,1,,,,,,,
Dessin,encre de la Chine sur velin,1,,,,,,,
